Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,SizeGp,FarePerPers,Notable
0,3,male,22.0,1,0,7.25,S,F,1,7.25,0
1,1,female,38.0,1,0,71.2833,C,C,1,71.2833,0
1,3,female,26.0,0,0,7.925,S,F,1,7.925,0
1,1,female,35.0,1,0,53.1,S,C,2,26.55,0
0,3,male,35.0,0,0,8.05,S,G,1,8.05,0
0,3,male,24.0,0,0,8.4583,Q,F,1,8.4583,0
0,1,male,54.0,0,0,51.8625,S,E,1,51.8625,0
0,3,male,2.0,3,1,21.075,S,F,4,5.26875,0
1,3,female,27.0,0,2,11.1333,S,F,3,3.7111,0
1,2,female,14.0,1,0,30.0708,C,F,2,15.0354,0
1,3,female,4.0,1,1,16.7,S,G,2,8.35,0
1,1,female,58.0,0,0,26.55,S,C,1,26.55,0
0,3,male,20.0,0,0,8.05,S,G,1,8.05,0
0,3,male,39.0,1,5,31.275,S,G,7,4.4678571428571425,0
0,3,female,14.0,0,0,7.8542,S,F,1,7.8542,0
1,2,female,55.0,0,0,16.0,S,E,1,16.0,0
0,3,male,2.0,4,1,29.125,Q,F,5,5.825,0
1,2,male,40.0,0,0,13.0,S,D,1,13.0,0
0,3,female,31.0,1,0,18.0,S,G,1,18.0,0
1,3,female,14.0,0,0,7.225,C,F,1,7.225,0
0,2,male,35.0,0,0,26.0,S,F,2,13.0,0
1,2,male,34.0,0,0,13.0,S,D,1,13.0,0
1,3,female,15.0,0,0,8.0292,Q,F,1,8.0292,0
1,1,male,28.0,0,0,35.5,S,A,1,35.5,0
0,3,female,8.0,3,1,21.075,S,E,4,5.26875,0
1,3,female,38.0,1,5,31.3875,S,G,4,7.846875,0
0,3,male,26.0,0,0,7.225,C,F,1,7.225,0
0,1,male,19.0,3,2,263.0,S,C,4,65.75,0
1,3,female,3.0,0,0,7.8792,Q,F,1,7.8792,0
0,3,male,18.0,0,0,7.8958,S,E,1,7.8958,0
0,1,male,40.0,0,0,27.7208,C,C,1,27.7208,1
1,1,female,18.0,1,0,146.5208,C,B,2,73.2604,0
1,3,female,7.0,0,0,7.75,Q,G,1,7.75,0
0,2,male,66.0,0,0,10.5,S,F,1,10.5,0
0,1,male,28.0,1,0,82.1708,C,A,2,41.0854,0
0,1,male,42.0,1,0,52.0,S,E,2,26.0,0
1,3,male,25.0,0,0,7.2292,C,F,1,7.2292,0
0,3,male,21.0,0,0,8.05,S,G,1,8.05,0
0,3,female,18.0,2,0,18.0,S,G,2,9.0,0
1,3,female,14.0,1,0,11.2417,C,F,2,5.62085,0
0,3,female,40.0,1,0,9.475,S,F,1,9.475,0
0,2,female,27.0,1,0,21.0,S,D,2,10.5,0
0,3,male,30.0,0,0,7.8958,C,F,1,7.8958,0
1,2,female,3.0,1,2,41.5792,C,E,3,13.859733333333333,0
1,3,female,19.0,0,0,7.8792,Q,F,1,7.8792,0
0,3,male,24.5,0,0,8.05,S,G,1,8.05,0
0,3,male,9.0,1,0,15.5,Q,F,1,15.5,0
1,3,female,1.0,0,0,7.75,Q,G,1,7.75,0
0,3,male,25.0,2,0,21.6792,C,F,1,21.6792,0
0,3,female,18.0,1,0,17.8,S,G,2,8.9,0
0,3,male,7.0,4,1,39.6875,S,E,6,6.614583333333333,0
0,3,male,21.0,0,0,7.8,S,E,1,7.8,0
1,1,female,49.0,1,0,76.7292,C,D,3,25.576400000000003,0
1,2,female,29.0,1,0,26.0,S,D,1,26.0,0
0,1,male,65.0,0,1,61.9792,C,B,1,61.9792,0
1,1,male,35.0,0,0,35.5,S,C,1,35.5,0
1,2,female,21.0,0,0,10.5,S,F,1,10.5,0
